state_province,especie
Len,Alauda arvensis
Madrid,Streptopelia decaocto
Barcelona,Falco peregrinus
Illes Balears,Erithacus rubecula
Zamora,Lanius meridionalis
Girona,Streptopelia decaocto
Girona,Agapornis roseicollis
Santa Cruz de Tenerife,Falco tinnunculus
Las Palmas,Lanius meridionalis
Valncia/Valencia,Gallinula chloropus
Zaragoza,Hirundo rustica
Zaragoza,Passer domesticus
Girona,Troglodytes troglodytes
Segovia,Phoenicurus ochruros
Palencia,Erithacus rubecula
Barcelona,Milvus milvus
Barcelona,Egretta garzetta
A Corua,Streptopelia decaocto
Valncia/Valencia,Delichon urbicum
Alacant/Alicante,Alectoris rufa
Murcia,Hirundo rustica
Madrid,Sturnus
Barcelona,Phoenicurus ochruros
Zamora,Ardea purpurea
Girona,Regulus ignicapilla
A Corua,Passer hispaniolensis
Ciudad Real,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Girona,Luscinia megarhynchos
Barcelona,Garrulus glandarius
Zamora,Erithacus rubecula
Girona,Motacilla flava
Murcia,Luscinia megarhynchos
Zamora,Carduelis carduelis
Zamora,Picus viridis
Lleida,Actitis hypoleucos
Ciudad Real,Netta rufina
Albacete,Parus major
Madrid,Columba palumbus
Pontevedra,Garrulus glandarius
Araba/lava,Ciconia ciconia
Madrid,Himantopus himantopus
Girona,Falco peregrinus
Valncia/Valencia,Serinus serinus
Ciudad Real,Ardea cinerea
Valncia/Valencia,Columba livia
Albacete,Motacilla cinerea
Ciudad Real,Columba livia
Albacete,Phoenicurus ochruros
Albacete,Anas platyrhynchos
Segovia,Turdus merula
Murcia,Sylvia atricapilla
Girona,Tringa ochropus
Ciudad Real,Aythya ferina
Asturias,Pyrrhula pyrrhula
Alacant/Alicante,Erithacus rubecula
Albacete,Fringilla coelebs
Alacant/Alicante,Alcedo atthis
Barcelona,Sylvia atricapilla
Barcelona,Cisticola juncidis
Palencia,Cettia cetti
Illes Balears,Upupa epops
Len,Corvus corone
Alacant/Alicante,Ptyonoprogne rupestris
Ciudad Real,Phoenicurus ochruros
Barcelona,Psittacula krameri
Murcia,Apus apus
Las Palmas,Myiopsitta monachus
Girona,Coccothraustes coccothraustes
Valncia/Valencia,Phoenicurus ochruros
Ciudad Real,Luscinia svecica
Las Palmas,Egretta garzetta
Asturias,Erithacus rubecula
Alacant/Alicante,Bubulcus ibis
Ciudad Real,Gallinago gallinago
Tarragona,Motacilla cinerea
Murcia,Columba palumbus
Barcelona,Picus viridis
A Corua,Actitis hypoleucos
Segovia,Upupa epops
Girona,Accipiter gentilis
Araba/lava,Troglodytes troglodytes
Tarragona,Erithacus rubecula
Ciudad Real,Alauda arvensis
Zamora,Accipiter nisus
Len,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Pontevedra,Larus michahellis
Albacete,Picus viridis
Alacant/Alicante,Cecropis daurica
Murcia,Delichon urbicum
Zamora,Apus apus
Len,Phoenicurus ochruros
Valncia/Valencia,Hirundo daurica
Len,Saxicola rubicola
Albacete,Carduelis carduelis
Madrid,Sylvia melanocephala
Murcia,Pica pica
Ciudad Real,Tachybaptus ruficollis
Len,Erithacus rubecula
Tarragona,Chroicocephalus ridibundus
A Corua,Pyrrhula pyrrhula
Zamora,Corvus corone
Valncia/Valencia,Lanius meridionalis
Girona,Oriolus oriolus
Girona,Milvus migrans
Santa Cruz de Tenerife,Passer hispaniolensis
Murcia,Tachybaptus ruficollis
Tarragona,Upupa epops
Segovia,Oenanthe oenanthe
Ciudad Real,Circus aeruginosus
Ciudad Real,Erithacus rubecula
Illes Balears,Motacilla alba
